лЮПЙЮ;яРНХЛНЯРЭ;нАЗЕЛ ДБХЦЮРЕКЪ;кНЬЮДХМШЕ ЯХКШ;бХД РНОКХБЮ;йНПНАЙЮ ОЕПЕДЮВ;йСГНБ;цНД БШОСЯЙЮ;оПНАЕЦ;жБЕР;оПХБНД;мЮКНЦ;яНЯРНЪМХЕ;йНКХВЕЯРБН БКЮДЕКЭЖЕБ;цНПНД;яЯШКЙЮ
BMW 7 ЯЕПХХ VI (G11/G12) 740d xDrive;3490000;3;320;дхгекэ;юбрнлюр;яедюм;2016;100000;аекши;онкмши;48000;ме рпеасер пелнмрю;1;лняйбю;https://auto.ru/cars/used/sale/bmw/7er/1103539030-d6e417f5/
BMW X6 II (F16) 40d;3780000;3;313;дхгекэ;юбрнлюр;бмеднпнфмхй 5 дб.;2016;99000;аекши;онкмши;46950;ме рпеасер пелнмрю;1;лняйбю;https://auto.ru/cars/used/sale/bmw/x6/1103561255-fce04b53/
BMW 5 ЯЕПХХ VI (F10/F11/F07) 528i xDrive;1690000;2;245;аемгхм;юбрнлюр;яедюм;2014;151593;яхмхи;онкмши;18375;ме рпеасер пелнмрю;3;лняйбю;https://auto.ru/cars/used/sale/bmw/5er/1103746934-f574dc8d/
BMW X7 I (G07) 30d;5999000;3;249;дхгекэ;юбрнлюр;бмеднпнфмхй 5 дб.;2020;59877;аекши;онкмши;37350;ме рпеасер пелнмрю;2;лняйбю;https://auto.ru/cars/used/sale/bmw/x7/1103323144-2808a5c8/
BMW 5 ЯЕПХХ VII (G30/G31) 520d xDrive;4300000;2;190;дхгекэ;юбрнлюр;яедюм;2021;0;в╗пмши;онкмши;9500;ме рпеасер пелнмрю;0;лняйбю;https://auto.ru/cars/new/group/bmw/5er/22214145/22218414/1103521755-9d7a852d/
BMW 3 ЯЕПХХ VII (G2x) 318d;3260300;2;150;дхгекэ;юбрнлюр;яедюм;2021;0;в╗пмши;гюдмхи;5250;ме рпеасер пелнмрю;0;лняйбю;https://auto.ru/cars/new/group/bmw/3er/21592423/21609149/1102914772-f390a78b/
BMW 8 ЯЕПХХ II (G14/G15/G16) 840d xDrive;6450000;3;320;дхгекэ;юбрнлюр;йсое;2018;38272;яепши;онкмши;48000;ме рпеасер пелнмрю;1;лняйбю;https://auto.ru/cars/used/sale/bmw/8er/1103210804-a70d6186/
BMW X7 I (G07) 30d;8197000;3;249;дхгекэ;юбрнлюр;бмеднпнфмхй 5 дб.;2021;7;аекши;онкмши;37350;ме рпеасер пелнмрю;1;лняйбю;https://auto.ru/cars/used/sale/bmw/x7/1102869987-6702a494/
BMW X4 II (G02) 20i;4800000;2;184;аемгхм;юбрнлюр;бмеднпнфмхй 5 дб.;2021;0;аекши;онкмши;10120;ме рпеасер пелнмрю;0;лняйбю;https://auto.ru/cars/new/group/bmw/x4/21204130/21301352/1102774797-79154e6d/
BMW X4 II (G02) 20i;4800000;2;184;аемгхм;юбрнлюр;бмеднпнфмхй 5 дб.;2021;0;в╗пмши;онкмши;10120;ме рпеасер пелнмрю;0;лняйбю;https://auto.ru/cars/new/group/bmw/x4/21204130/21301352/1102774783-a583a2cb/
BMW X1 I (E84) 20i;865000;2;184;аемгхм;юбрнлюр;бмеднпнфмхй 5 дб.;2012;94000;аекши;онкмши;9200;ме рпеасер пелнмрю;3;лняйбю;https://auto.ru/cars/used/sale/bmw/x1/1102658480-72bbb182/
